group,condition,seed,x_value,x_label,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
delay,delay_0,5,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,6,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,7,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,8,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,9,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.350649,1.0
delay,delay_0,10,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.074074,1.0
delay,delay_0,11,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.129853,1.0
delay,delay_0,12,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,13,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,14,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,15,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.027778,1.0
delay,delay_0,16,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,17,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.278499,1.0
delay,delay_0,18,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,19,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,20,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,21,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,22,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.055556,1.0
delay,delay_0,23,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.156118,1.0
delay,delay_0,24,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,25,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,26,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,27,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
