condition,seed,reward,goal_rate,CDS,SPI,SPI_near,SPI_mid,SPI_far,SPI_neutral,Q_mass_near,Q_mass_mid,Q_mass_far,Q_mass_neutral
balanced_distractors,11,0.978,1.0,0.800005,0.225,0.3,0.3,0.2,0.1,0.199998,0.200005,0.200003,0.199999
balanced_distractors,12,0.978,1.0,0.8,0.2,0.4,0.3,0.1,0.0,0.200002,0.200002,0.199998,0.199998
balanced_distractors,13,0.978,1.0,0.800004,0.225,0.2,0.2,0.3,0.2,0.200003,0.200003,0.200007,0.199991
balanced_distractors,14,0.978,1.0,0.8,0.225,0.0,0.5,0.2,0.2,0.199996,0.200005,0.199999,0.200001
balanced_distractors,15,0.978,1.0,0.8,0.2,0.3,0.1,0.3,0.1,0.199999,0.2,0.2,0.200001
balanced_distractors,16,0.978,1.0,0.799999,0.2,0.1,0.2,0.3,0.2,0.199998,0.199999,0.200001,0.200001
balanced_distractors,17,0.978,1.0,0.799998,0.225,0.3,0.2,0.3,0.1,0.200002,0.199995,0.200002,0.2
balanced_distractors,18,0.978,1.0,0.800003,0.25,0.1,0.5,0.2,0.2,0.199995,0.200004,0.200001,0.200002
balanced_distractors,19,0.978,1.0,0.800006,0.2,0.1,0.2,0.3,0.2,0.2,0.200004,0.200004,0.199999
balanced_distractors,20,0.978,1.0,0.799994,0.125,0.1,0.2,0.0,0.2,0.199998,0.200002,0.199998,0.199996
balanced_distractors,21,0.978,1.0,0.8,0.225,0.2,0.1,0.4,0.2,0.199999,0.199999,0.200004,0.199999
balanced_distractors,22,0.978,1.0,0.800004,0.225,0.3,0.1,0.2,0.3,0.200001,0.199997,0.200002,0.200003
balanced_distractors,23,0.978,1.0,0.799999,0.15,0.1,0.2,0.0,0.3,0.2,0.2,0.199994,0.200005
balanced_distractors,24,0.978,1.0,0.800002,0.225,0.0,0.2,0.3,0.4,0.199997,0.200004,0.199999,0.200002
balanced_distractors,25,0.978,1.0,0.800002,0.2,0.1,0.2,0.3,0.2,0.200003,0.199992,0.200006,0.200001
balanced_distractors,26,0.978,1.0,0.799998,0.2,0.2,0.0,0.1,0.5,0.199997,0.199997,0.199998,0.200005
balanced_distractors,27,0.978,1.0,0.799999,0.2,0.1,0.1,0.3,0.3,0.199994,0.199998,0.200005,0.200003
balanced_distractors,28,0.978,1.0,0.800005,0.2,0.3,0.1,0.1,0.3,0.200005,0.200002,0.199998,0.199999
balanced_distractors,29,0.978,1.0,0.800007,0.2,0.1,0.2,0.0,0.5,0.200002,0.199999,0.199999,0.200007
temporally_biased_distractors,0,0.978,1.0,0.499949,0.333333,0.0,0.666667,0.666667,0.0,0.436748,0.451134,0.4456,0.333017
temporally_biased_distractors,1,0.978,1.0,0.499953,0.5,0.666667,0.333333,1.0,0.0,0.443939,0.441154,0.44841,0.333006
temporally_biased_distractors,2,0.978,1.0,0.499938,0.459167,0.503333,0.333333,1.0,0.0,0.446178,0.441137,0.446228,0.332918
temporally_biased_distractors,3,0.978,1.0,0.499958,0.25,0.333333,0.0,0.666667,0.0,0.443907,0.445046,0.444518,0.333055
temporally_biased_distractors,4,0.978,1.0,0.499957,0.5,0.666667,1.0,0.333333,0.0,0.43559,0.450625,0.44727,0.333039
temporally_biased_distractors,5,0.978,1.0,0.499951,0.333333,0.333333,0.666667,0.333333,0.0,0.446732,0.443936,0.44283,0.333005
temporally_biased_distractors,6,0.978,1.0,0.499947,0.3,0.533333,0.333333,0.333333,0.0,0.444504,0.449502,0.439489,0.332995
temporally_biased_distractors,7,0.978,1.0,0.499968,0.416667,0.333333,0.666667,0.666667,0.0,0.443357,0.448935,0.441154,0.333114
temporally_biased_distractors,8,0.978,1.0,0.499954,0.296667,0.52,0.333333,0.333333,0.0,0.441138,0.447283,0.445063,0.333032
temporally_biased_distractors,9,0.978,1.0,0.499914,0.416667,0.333333,0.666667,0.666667,0.0,0.449573,0.438454,0.44563,0.332721
temporally_biased_distractors,10,0.978,1.0,0.499942,0.295833,0.516667,0.0,0.666667,0.0,0.449515,0.441691,0.442315,0.332952
temporally_biased_distractors,11,0.978,1.0,0.49996,0.333333,0.666667,0.333333,0.333333,0.0,0.443922,0.443368,0.446173,0.333069
temporally_biased_distractors,12,0.978,1.0,0.499942,0.46,0.173333,1.0,0.666667,0.0,0.448373,0.449546,0.43563,0.332924
temporally_biased_distractors,13,0.978,1.0,0.49994,0.5,0.666667,0.333333,1.0,0.0,0.445662,0.443929,0.443946,0.33293
temporally_biased_distractors,14,0.978,1.0,0.499949,0.416667,0.666667,0.333333,0.666667,0.0,0.438909,0.446735,0.447855,0.332998
temporally_biased_distractors,15,0.978,1.0,0.499942,0.333333,1.0,0.0,0.333333,0.0,0.446724,0.441725,0.445077,0.332946
temporally_biased_distractors,16,0.978,1.0,0.499955,0.333333,0.666667,0.333333,0.333333,0.0,0.444493,0.449484,0.439507,0.33303
temporally_biased_distractors,17,0.978,1.0,0.499964,0.583333,1.0,0.666667,0.666667,0.0,0.446145,0.445032,0.442289,0.333079
temporally_biased_distractors,18,0.978,1.0,0.499941,0.583333,0.666667,0.666667,1.0,0.0,0.449549,0.440062,0.443946,0.332913
temporally_biased_distractors,19,0.978,1.0,0.499957,0.298333,0.193333,0.666667,0.333333,0.0,0.441695,0.444514,0.447268,0.333048
temporally_biased_distractors,20,0.978,1.0,0.49995,0.333333,0.333333,0.0,1.0,0.0,0.443946,0.442283,0.44727,0.333002
temporally_biased_distractors,21,0.978,1.0,0.499959,0.298333,0.526667,0.333333,0.333333,0.0,0.441731,0.44503,0.446695,0.333075
temporally_biased_distractors,22,0.978,1.0,0.499957,0.583333,1.0,0.666667,0.666667,0.0,0.445058,0.441171,0.447264,0.333032
temporally_biased_distractors,23,0.978,1.0,0.499959,0.458333,0.5,0.666667,0.666667,0.0,0.443375,0.446157,0.443945,0.333053
temporally_biased_distractors,24,0.978,1.0,0.499946,0.416667,0.666667,0.666667,0.333333,0.0,0.446145,0.445647,0.441719,0.332975
temporally_biased_distractors,25,0.978,1.0,0.499966,0.5,0.333333,1.0,0.666667,0.0,0.444479,0.439486,0.44949,0.333099
temporally_biased_distractors,26,0.978,1.0,0.499951,0.295833,0.183333,0.333333,0.666667,0.0,0.443932,0.44284,0.44673,0.333
temporally_biased_distractors,27,0.978,1.0,0.499955,0.583333,0.666667,0.666667,1.0,0.0,0.451706,0.43897,0.442831,0.33301
temporally_biased_distractors,28,0.978,1.0,0.499961,0.291667,0.166667,0.666667,0.333333,0.0,0.439481,0.44448,0.449496,0.33308
temporally_biased_distractors,29,0.978,1.0,0.499957,0.416667,0.666667,0.666667,0.333333,0.0,0.445043,0.441165,0.447276,0.333038
