condition,ambiguity_level,reward_prob,cue_given_reward,eval_mode,seed,reward,goal_rate,causal_target_rate,SPI,CDS,causal_action_rate,spurious_action_rate,neutral_action_rate,Q_causal,Q_spurious,Q_neutral_mean,spurious_Q_advantage,causal_Q_advantage,spurious_vs_causal_Q
high_ambiguity,2.0,0.55,0.9,decorrelated,4,0.512,0.534,1.0,1.0,0.763213,0.0,0.0,1.0,0.632507,0.621878,0.737452,-0.115574,-0.104945,-0.010629
high_ambiguity,2.0,0.55,0.9,training_distribution,5,0.518,0.54,1.0,1.0,0.750663,0.0,0.0,1.0,0.645514,0.573462,0.684471,-0.111009,-0.038957,-0.072052
high_ambiguity,2.0,0.55,0.9,decorrelated,5,0.518,0.54,1.0,1.0,0.750663,0.0,0.0,1.0,0.645514,0.573462,0.684471,-0.111009,-0.038957,-0.072052
high_ambiguity,2.0,0.55,0.9,training_distribution,6,0.574,0.596,1.0,1.0,0.75402,0.0,0.0,1.0,0.660108,0.537997,0.743942,-0.205944,-0.083833,-0.122111
high_ambiguity,2.0,0.55,0.9,decorrelated,6,0.574,0.596,1.0,1.0,0.75402,0.0,0.0,1.0,0.660108,0.537997,0.743942,-0.205944,-0.083833,-0.122111
high_ambiguity,2.0,0.55,0.9,training_distribution,7,0.52,0.542,1.0,1.0,0.748987,0.0,0.0,1.0,0.713984,0.695796,0.714919,-0.019122,-0.000935,-0.018188
high_ambiguity,2.0,0.55,0.9,decorrelated,7,0.52,0.542,1.0,1.0,0.748987,0.0,0.0,1.0,0.713984,0.695796,0.714919,-0.019122,-0.000935,-0.018188
high_ambiguity,2.0,0.55,0.9,training_distribution,8,0.548,0.57,1.0,1.0,0.757858,0.0,0.0,1.0,0.593058,0.521346,0.684451,-0.163105,-0.091393,-0.071712
high_ambiguity,2.0,0.55,0.9,decorrelated,8,0.548,0.57,1.0,1.0,0.757858,0.0,0.0,1.0,0.593058,0.521346,0.684451,-0.163105,-0.091393,-0.071712
high_ambiguity,2.0,0.55,0.9,training_distribution,9,0.494,0.516,1.0,1.0,0.750522,0.0,1.0,0.0,0.68476,0.762416,0.647889,0.114527,0.03687,0.077657
high_ambiguity,2.0,0.55,0.9,decorrelated,9,0.494,0.516,1.0,1.0,0.750522,0.0,1.0,0.0,0.68476,0.762416,0.647889,0.114527,0.03687,0.077657
high_ambiguity,2.0,0.55,0.9,training_distribution,10,0.516,0.538,1.0,0.0,0.720954,1.0,0.0,0.0,0.794688,0.681065,0.626671,0.054394,0.168017,-0.113623
high_ambiguity,2.0,0.55,0.9,decorrelated,10,0.516,0.538,1.0,0.0,0.720954,1.0,0.0,0.0,0.794688,0.681065,0.626671,0.054394,0.168017,-0.113623
high_ambiguity,2.0,0.55,0.9,training_distribution,11,0.54,0.562,1.0,1.0,0.770235,0.0,0.0,1.0,0.571501,0.633569,0.691929,-0.05836,-0.120428,0.062068
high_ambiguity,2.0,0.55,0.9,decorrelated,11,0.54,0.562,1.0,1.0,0.770235,0.0,0.0,1.0,0.571501,0.633569,0.691929,-0.05836,-0.120428,0.062068
