agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,abs_proxy_dependence,proxy_action_dependence
tabular_sarsa,1,reversal,200,3200,0.05,0.95,0.538,0.56,0.733,0.742989,0.267,0.289333,0.443667,0.25741,0.214715,0.228034,-0.013319,-0.042695,-0.299057,0.299057,0.200067
tabular_sarsa,1,reversal,300,3300,0.05,0.95,0.471333,0.493333,0.603667,0.746843,0.396333,0.098,0.505667,0.217306,0.197901,0.203329,-0.005428,-0.019405,0.005923,0.005923,-0.201094
tabular_sarsa,1,reversal,400,3400,0.05,0.95,0.491333,0.513333,0.65,0.746222,0.35,0.251667,0.398333,0.224656,0.200224,0.209495,-0.009272,-0.024432,-0.105299,0.105299,0.109539
tabular_sarsa,1,reversal,500,3500,0.05,0.95,0.504667,0.526667,0.65,0.749128,0.35,0.252,0.398,0.217949,0.211122,0.216817,-0.005695,-0.006827,-0.096003,0.096003,0.102067
tabular_sarsa,1,reversal,600,3600,0.05,0.95,0.501333,0.523333,0.699,0.74655,0.301,0.343667,0.355333,0.248979,0.226302,0.23541,-0.009108,-0.022677,-0.195014,0.195014,0.29435
tabular_sarsa,1,reversal,700,3700,0.05,0.95,0.498,0.52,0.700667,0.746697,0.299333,0.25,0.450667,0.254576,0.227071,0.243568,-0.016497,-0.027505,-0.200887,0.200887,0.101758
tabular_sarsa,1,reversal,800,3800,0.05,0.95,0.474667,0.496667,0.703333,0.74877,0.296667,0.251333,0.452,0.249284,0.234594,0.246501,-0.011907,-0.01469,-0.191964,0.191964,0.089986
tabular_sarsa,1,reversal,900,3900,0.05,0.95,0.498,0.52,0.692,0.747711,0.308,0.243667,0.448333,0.263093,0.24009,0.256485,-0.016395,-0.023004,-0.204355,0.204355,0.098668
tabular_sarsa,1,reversal,1000,4000,0.05,0.95,0.484667,0.506667,0.642667,0.744606,0.357333,0.146,0.496667,0.281668,0.23722,0.262179,-0.024959,-0.044448,-0.50904,0.50904,0.297757
tabular_sarsa,1,reversal,1100,4100,0.05,0.95,0.464667,0.486667,0.701667,0.748433,0.298333,0.253667,0.448,0.253544,0.245471,0.245502,-3.1e-05,-0.008072,-0.196804,0.196804,0.299632
tabular_sarsa,1,reversal,1200,4200,0.05,0.95,0.488,0.51,0.702667,0.750726,0.297333,0.299333,0.403333,0.261728,0.260206,0.267762,-0.007556,-0.001522,-0.001261,0.001261,0.202811
tabular_sarsa,1,reversal,1300,4300,0.05,0.95,0.514667,0.536667,0.793667,0.75066,0.206333,0.292,0.501667,0.281979,0.285354,0.284706,0.000648,0.003375,-0.201707,0.201707,0.198828
tabular_sarsa,1,reversal,1400,4400,0.05,0.95,0.491333,0.513333,0.698667,0.749566,0.301333,0.247,0.451667,0.287253,0.282486,0.28559,-0.003104,-0.004767,-0.003401,0.003401,0.103915
tabular_sarsa,1,reversal,1500,4500,0.05,0.95,0.438,0.46,0.701333,0.748857,0.298667,0.306,0.395333,0.280323,0.285382,0.267918,0.017464,0.005059,-0.003963,0.003963,0.193328
tabular_sarsa,1,extinction,1,4501,0.5,0.5,0.468,0.49,0.703667,0.748469,0.296333,0.3,0.403667,0.296914,0.301302,0.281945,0.019356,0.004388,-0.003086,0.003086,0.186935
tabular_sarsa,1,extinction,100,4600,0.5,0.5,0.451333,0.473333,0.797,0.744862,0.203,0.295667,0.501333,0.319352,0.318563,0.283146,0.035418,-0.000788,0.206765,0.206765,0.198615
tabular_sarsa,1,extinction,200,4700,0.5,0.5,0.481333,0.503333,0.748333,0.748186,0.251667,0.352,0.396333,0.2705,0.283474,0.251634,0.031841,0.012975,0.108833,0.108833,0.108184
tabular_sarsa,1,extinction,300,4800,0.5,0.5,0.478,0.5,0.753,0.749206,0.247,0.309,0.444,0.253791,0.263344,0.243891,0.019453,0.009553,0.101907,0.101907,0.214602
tabular_sarsa,1,extinction,400,4900,0.5,0.5,0.488,0.51,0.757333,0.748134,0.242667,0.302667,0.454667,0.271258,0.277476,0.25587,0.021606,0.006218,0.094163,0.094163,0.1997
tabular_sarsa,1,extinction,500,5000,0.5,0.5,0.458,0.48,0.789667,0.748041,0.210333,0.362,0.427667,0.266365,0.272015,0.249556,0.02246,0.00565,0.195901,0.195901,0.105117
tabular_sarsa,1,extinction,600,5100,0.5,0.5,0.484667,0.506667,0.651333,0.747617,0.348667,0.297333,0.354,0.279229,0.273674,0.264416,0.009258,-0.005555,-0.106081,0.106081,0.212113
tabular_sarsa,1,extinction,700,5200,0.5,0.5,0.418,0.44,0.806333,0.750008,0.193667,0.304333,0.502,0.255182,0.25494,0.256307,-0.001366,-0.000241,0.198738,0.198738,0.219919
tabular_sarsa,1,extinction,800,5300,0.5,0.5,0.454667,0.476667,0.758667,0.748901,0.241333,0.303667,0.455,0.270399,0.278348,0.260742,0.017606,0.007948,0.09817,0.09817,0.215017
tabular_sarsa,1,extinction,900,5400,0.5,0.5,0.484667,0.506667,0.756333,0.749433,0.243667,0.405,0.351333,0.267474,0.281315,0.258251,0.023064,0.013841,0.087733,0.087733,0.208548
tabular_sarsa,1,extinction,1000,5500,0.5,0.5,0.494667,0.516667,0.654,0.74865,0.346,0.299,0.355,0.277401,0.280318,0.266197,0.014121,0.002918,-0.098931,0.098931,0.398407
tabular_sarsa,1,extinction,1100,5600,0.5,0.5,0.508,0.53,0.651667,0.749447,0.348333,0.308667,0.343,0.264833,0.271467,0.257568,0.013899,0.006635,-0.083771,0.083771,0.392753
tabular_sarsa,1,extinction,1200,5700,0.5,0.5,0.498,0.52,0.763,0.749724,0.237,0.318,0.445,0.280104,0.293124,0.272154,0.02097,0.01302,-0.10241,0.10241,0.609974
