agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
tabular_sarsa,1,reversal,1000,4000,0.05,0.95,0.469667,0.491667,0.898333,0.752093,0.101667,0.245833,0.6525,0.251171,0.268741,0.258083,0.010658,0.01757,-0.000339,-0.29582
tabular_sarsa,1,reversal,1100,4100,0.05,0.95,0.411333,0.433333,0.900833,0.754156,0.099167,0.234167,0.666667,0.238149,0.264324,0.256406,0.007918,0.026175,0.002221,-0.299486
tabular_sarsa,1,reversal,1200,4200,0.05,0.95,0.444667,0.466667,0.8025,0.750531,0.1975,0.2975,0.505,0.245237,0.251761,0.245608,0.006153,0.006523,0.00276,0.009807
tabular_sarsa,1,reversal,1300,4300,0.05,0.95,0.503,0.525,0.85,0.751562,0.15,0.3,0.55,0.27932,0.290466,0.286136,0.00433,0.011146,-0.091411,0.194853
tabular_sarsa,1,reversal,1400,4400,0.05,0.95,0.444667,0.466667,0.650833,0.748234,0.349167,0.3075,0.343333,0.276903,0.272896,0.265424,0.007473,-0.004007,0.102325,0.191135
tabular_sarsa,1,reversal,1500,4500,0.05,0.95,0.403,0.425,0.806667,0.750155,0.193333,0.42,0.386667,0.255111,0.268067,0.249591,0.018476,0.012956,-0.002133,0.200383
tabular_sarsa,1,extinction,1,4501,0.5,0.5,0.494667,0.516667,0.800833,0.750215,0.199167,0.401667,0.399167,0.286891,0.299186,0.282361,0.016826,0.012295,-0.003672,0.16268
tabular_sarsa,1,extinction,100,4600,0.5,0.5,0.536333,0.558333,0.7525,0.752907,0.2475,0.354167,0.398333,0.289768,0.349088,0.281359,0.067729,0.05932,-0.115779,0.296459
tabular_sarsa,1,extinction,200,4700,0.5,0.5,0.436333,0.458333,0.778333,0.752444,0.221667,0.4275,0.350833,0.261549,0.302214,0.259725,0.042489,0.040665,-0.028548,0.110712
tabular_sarsa,1,extinction,300,4800,0.5,0.5,0.536333,0.558333,0.749167,0.750904,0.250833,0.313333,0.435833,0.249022,0.279121,0.241479,0.037642,0.0301,-0.082842,0.376673
tabular_sarsa,1,extinction,400,4900,0.5,0.5,0.536333,0.558333,0.746667,0.754276,0.253333,0.391667,0.355,0.26105,0.319613,0.264827,0.054786,0.058563,-0.115742,0.207671
tabular_sarsa,1,extinction,500,5000,0.5,0.5,0.444667,0.466667,0.799167,0.751032,0.200833,0.4025,0.396667,0.258823,0.285944,0.253496,0.032448,0.027121,-0.011084,0.196448
tabular_sarsa,1,extinction,600,5100,0.5,0.5,0.478,0.5,0.7375,0.750842,0.2625,0.393333,0.344167,0.268072,0.298642,0.259225,0.039417,0.030569,-0.137888,0.202481
tabular_sarsa,1,extinction,700,5200,0.5,0.5,0.403,0.425,0.725833,0.749708,0.274167,0.166667,0.559167,0.244159,0.251458,0.238582,0.012876,0.0073,-0.197747,0.331675
tabular_sarsa,1,extinction,800,5300,0.5,0.5,0.394667,0.416667,0.751667,0.749724,0.248333,0.25,0.501667,0.263152,0.261876,0.261022,0.000854,-0.001276,-0.094971,0.101695
tabular_sarsa,1,extinction,900,5400,0.5,0.5,0.503,0.525,0.753333,0.749887,0.246667,0.248333,0.505,0.271598,0.275322,0.267702,0.007619,0.003724,-0.073257,0.09006
tabular_sarsa,1,extinction,1000,5500,0.5,0.5,0.553,0.575,0.750833,0.748842,0.249167,0.205,0.545833,0.282311,0.275355,0.27667,-0.001314,-0.006956,-0.094168,0.195883
tabular_sarsa,1,extinction,1100,5600,0.5,0.5,0.494667,0.516667,0.748333,0.751045,0.251667,0.2025,0.545833,0.267676,0.277123,0.271014,0.006109,0.009447,-0.135399,0.21118
tabular_sarsa,1,extinction,1200,5700,0.5,0.5,0.536333,0.558333,0.853333,0.755991,0.146667,0.35,0.503333,0.256782,0.298943,0.281578,0.017365,0.042161,-0.091057,0.096392
tabular_sarsa,1,extinction,1300,5800,0.5,0.5,0.503,0.525,0.696667,0.750719,0.303333,0.296667,0.4,0.273951,0.292172,0.26988,0.022292,0.018221,-0.200283,0.182941
tabular_sarsa,1,extinction,1400,5900,0.5,0.5,0.419667,0.441667,0.849167,0.752369,0.150833,0.408333,0.440833,0.273534,0.302337,0.276962,0.025375,0.028803,-0.12622,0.044427
tabular_sarsa,1,extinction,1500,6000,0.5,0.5,0.486333,0.508333,0.705,0.751626,0.295,0.2475,0.4575,0.268252,0.288475,0.270857,0.017618,0.020223,-0.395747,0.292952
tabular_sarsa,2,acquisition,1,1,0.95,0.05,0.078,0.1,0.756667,0.749997,0.243333,0.27,0.486667,-5e-05,-6e-05,-7e-05,1e-05,-1e-05,0.011361,-0.100848
tabular_sarsa,2,acquisition,100,100,0.95,0.05,0.469667,0.491667,0.751667,0.751308,0.248333,0.144167,0.6075,0.00284,0.005197,0.01208,-0.006883,0.002357,-0.495017,-0.097373
tabular_sarsa,2,acquisition,200,200,0.95,0.05,0.428,0.45,0.648333,0.750958,0.351667,0.146667,0.501667,0.039141,0.047934,0.042236,0.005699,0.008793,-0.293304,0.100787
tabular_sarsa,2,acquisition,300,300,0.95,0.05,0.469667,0.491667,0.760833,0.749527,0.239167,0.101667,0.659167,0.071122,0.061575,0.072283,-0.010707,-0.009547,0.302172,-0.199021
tabular_sarsa,2,acquisition,400,400,0.95,0.05,0.511333,0.533333,0.798333,0.749854,0.201667,0.154167,0.644167,0.091098,0.087134,0.091766,-0.004632,-0.003965,-0.003509,0.103175
tabular_sarsa,2,acquisition,500,500,0.95,0.05,0.428,0.45,0.7425,0.749362,0.2575,0.245,0.4975,0.107428,0.100321,0.105644,-0.005323,-0.007107,-0.095246,0.092317
tabular_sarsa,2,acquisition,600,600,0.95,0.05,0.428,0.45,0.758333,0.749741,0.241667,0.26,0.498333,0.128799,0.134399,0.124358,0.010041,0.0056,0.093458,-0.088033
tabular_sarsa,2,acquisition,700,700,0.95,0.05,0.461333,0.483333,0.854167,0.751824,0.145833,0.201667,0.6525,0.136932,0.145543,0.14711,-0.001567,0.008612,-0.097291,0.000756
