condition,proxy_strength,p_proxy_given_reward,p_proxy_given_no_reward,eval_mode,agent_type,seed,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,11,0.484,0.506,0.6986,0.74797,0.3014,0.1994,0.4992,0.305212,0.294727,0.294914,-0.000186,-0.010485,-0.128159,0.20456
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,11,0.484,0.506,0.6986,0.74797,0.3014,0.1994,0.4992,0.305212,0.294727,0.294914,-0.000186,-0.010485,-0.128159,0.20456
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,12,0.506,0.528,0.6276,0.749325,0.3724,0.1664,0.4612,0.306708,0.303415,0.303117,0.000298,-0.003293,-0.145863,0.039876
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,12,0.506,0.528,0.6276,0.749325,0.3724,0.1664,0.4612,0.306708,0.303415,0.303117,0.000298,-0.003293,-0.145863,0.039876
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,13,0.498,0.52,0.7488,0.749126,0.2512,0.3138,0.435,0.312485,0.31439,0.304283,0.010107,0.001905,-0.003177,0.024827
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,13,0.498,0.52,0.7488,0.749126,0.2512,0.3138,0.435,0.312485,0.31439,0.304283,0.010107,0.001905,-0.003177,0.024827
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,14,0.472,0.494,0.756,0.75205,0.244,0.2954,0.4606,0.308893,0.313913,0.322556,-0.008642,0.00502,0.015943,-0.119167
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,14,0.472,0.494,0.756,0.75205,0.244,0.2954,0.4606,0.308893,0.313913,0.322556,-0.008642,0.00502,0.015943,-0.119167
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,15,0.46,0.482,0.7228,0.750793,0.2772,0.1518,0.571,0.285012,0.279831,0.293368,-0.013536,-0.00518,0.055176,0.000878
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,15,0.46,0.482,0.7228,0.750793,0.2772,0.1518,0.571,0.285012,0.279831,0.293368,-0.013536,-0.00518,0.055176,0.000878
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,16,0.454,0.476,0.7522,0.749774,0.2478,0.1488,0.6034,0.290468,0.286188,0.290524,-0.004336,-0.004281,0.098045,-0.095342
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,16,0.454,0.476,0.7522,0.749774,0.2478,0.1488,0.6034,0.290468,0.286188,0.290524,-0.004336,-0.004281,0.098045,-0.095342
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,17,0.466,0.488,0.7782,0.750253,0.2218,0.1966,0.5816,0.299027,0.295414,0.303256,-0.007842,-0.003613,-0.059874,-0.104465
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,17,0.466,0.488,0.7782,0.750253,0.2218,0.1966,0.5816,0.299027,0.295414,0.303256,-0.007842,-0.003613,-0.059874,-0.104465
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,18,0.46,0.482,0.8068,0.751391,0.1932,0.3,0.5068,0.291174,0.29403,0.300136,-0.006106,0.002856,0.097685,-0.220408
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,18,0.46,0.482,0.8068,0.751391,0.1932,0.3,0.5068,0.291174,0.29403,0.300136,-0.006106,0.002856,0.097685,-0.220408
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,19,0.464,0.486,0.746,0.747576,0.254,0.2502,0.4958,0.306604,0.296281,0.292778,0.003502,-0.010323,0.001752,0.006198
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,19,0.464,0.486,0.746,0.747576,0.254,0.2502,0.4958,0.306604,0.296281,0.292778,0.003502,-0.010323,0.001752,0.006198
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,20,0.48,0.502,0.7762,0.750575,0.2238,0.2626,0.5136,0.300038,0.302438,0.303319,-0.000882,0.0024,0.150561,0.088372
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,20,0.48,0.502,0.7762,0.750575,0.2238,0.2626,0.5136,0.300038,0.302438,0.303319,-0.000882,0.0024,0.150561,0.088372
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,21,0.502,0.524,0.729,0.749332,0.271,0.2498,0.4792,0.295495,0.297643,0.288555,0.009087,0.002148,-0.148553,0.084664
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,21,0.502,0.524,0.729,0.749332,0.271,0.2498,0.4792,0.295495,0.297643,0.288555,0.009087,0.002148,-0.148553,0.084664
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,22,0.462,0.484,0.6882,0.748883,0.3118,0.321,0.3672,0.31367,0.306055,0.308594,-0.002539,-0.007615,-0.097721,0.039723
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,22,0.462,0.484,0.6882,0.748883,0.3118,0.321,0.3672,0.31367,0.306055,0.308594,-0.002539,-0.007615,-0.097721,0.039723
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,23,0.488,0.51,0.6594,0.747656,0.3406,0.2512,0.4082,0.313543,0.303235,0.30053,0.002705,-0.010307,-0.067603,0.207731
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,23,0.488,0.51,0.6594,0.747656,0.3406,0.2512,0.4082,0.313543,0.303235,0.30053,0.002705,-0.010307,-0.067603,0.207731
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,24,0.476,0.498,0.8756,0.751586,0.1244,0.2856,0.59,0.293865,0.299297,0.30331,-0.004013,0.005433,0.142456,-0.263607
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,24,0.476,0.498,0.8756,0.751586,0.1244,0.2856,0.59,0.293865,0.299297,0.30331,-0.004013,0.005433,0.142456,-0.263607
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,25,0.522,0.544,0.6782,0.748154,0.3218,0.2274,0.4508,0.301615,0.302942,0.28672,0.016222,0.001327,-0.055047,0.166606
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,25,0.522,0.544,0.6782,0.748154,0.3218,0.2274,0.4508,0.301615,0.302942,0.28672,0.016222,0.001327,-0.055047,0.166606
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,26,0.474,0.496,0.8952,0.751387,0.1048,0.2294,0.6658,0.288432,0.291536,0.297482,-0.005945,0.003104,0.095087,0.343999
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,26,0.474,0.496,0.8952,0.751387,0.1048,0.2294,0.6658,0.288432,0.291536,0.297482,-0.005945,0.003104,0.095087,0.343999
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,27,0.456,0.478,0.7648,0.749475,0.2352,0.25,0.5148,0.306068,0.301506,0.304555,-0.003049,-0.004562,0.089749,-0.082246
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,27,0.456,0.478,0.7648,0.749475,0.2352,0.25,0.5148,0.306068,0.301506,0.304555,-0.003049,-0.004562,0.089749,-0.082246
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,28,0.496,0.518,0.684,0.748249,0.316,0.2176,0.4664,0.310516,0.299174,0.302561,-0.003387,-0.011342,-0.094486,0.050474
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,28,0.496,0.518,0.684,0.748249,0.316,0.2176,0.4664,0.310516,0.299174,0.302561,-0.003387,-0.011342,-0.094486,0.050474
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,29,0.494,0.516,0.6944,0.74944,0.3056,0.246,0.4484,0.293626,0.296284,0.287829,0.008455,0.002658,0.305845,-0.182744
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,29,0.494,0.516,0.6944,0.74944,0.3056,0.246,0.4484,0.293626,0.296284,0.287829,0.008455,0.002658,0.305845,-0.182744
weak_proxy,0.3,0.65,0.35,training_distribution_eval,memoryless_agent,0,0.492,0.514,0.8544,0.749652,0.1456,0.3526,0.5018,0.293574,0.297173,0.289105,0.008067,0.003599,-0.296055,0.096061
weak_proxy,0.3,0.65,0.35,decorrelated_eval,memoryless_agent,0,0.492,0.514,0.8514,0.749613,0.1486,0.3534,0.498,0.293336,0.296804,0.288629,0.008175,0.003468,-0.298874,0.098845
weak_proxy,0.3,0.65,0.35,training_distribution_eval,memoryless_agent,1,0.498,0.52,0.6178,0.748294,0.3822,0.096,0.5218,0.293446,0.276873,0.288536,-0.011664,-0.016573,0.009837,0.191159
weak_proxy,0.3,0.65,0.35,decorrelated_eval,memoryless_agent,1,0.498,0.52,0.613,0.7482,0.387,0.0958,0.5172,0.293494,0.276689,0.287956,-0.011267,-0.016805,0.020762,0.191294
weak_proxy,0.3,0.65,0.35,training_distribution_eval,memoryless_agent,2,0.516,0.538,0.6078,0.747718,0.3922,0.0958,0.512,0.317233,0.290145,0.312883,-0.022738,-0.027088,-0.379773,-0.196795
weak_proxy,0.3,0.65,0.35,decorrelated_eval,memoryless_agent,2,0.516,0.538,0.6064,0.747666,0.3936,0.099,0.5074,0.317115,0.29002,0.312353,-0.022333,-0.027096,-0.390136,-0.200974
